votes_per_item;method;accuracy_conf;accuracy_conf_std;accuracy_prob_conf;accuracy_prob_conf_std;precision_conf;precision_std;recall_conf;recall_conf_std;accuracy;accuracy_std;accuracy_prob;accuracy_prob_std;votes_per_worker_mean;votes_per_worker_std
11;truth_finder;;;;;;;;;0.7535325077;0.06350851153;0.753672808;0.06342226634;2.75;2.227666941
11;avlog;;;;;;;;;0.7287361541;0.06582577683;;;2.75;2.227666941
11;mcmc;;;;;;;;;0.7679184727;0.05453913732;0.7630110079;0.04980704218;2.75;2.227666941
11;mv_f;;;;;;;;;0.8213261094;0.05155677725;0.7369116282;0.04287042789;2.75;2.227666941
11;mcmc_conf;0.8685348931;0.04216803222;0.8199254571;0.03636790279;0.8873945951;0.07976508527;0.6012699154;0.1239613297;0.8226776746;0.05172669651;0.8213133815;0.05255542946;2.75;2.227666941
11;truth_finder_f;;;;;;;;;0.8244244926;0.04999713256;0.8244217128;0.04999769254;2.75;2.227666941
11;inv;;;;;;;;;0.772875473;0.07306546009;;;2.75;2.227666941
11;D&S_f;;;;;;;;;0.6463949088;0.06823505063;0.6072494643;0.06309420988;2.75;2.227666941
11;sums;;;;;;;;;0.7206835225;0.05825813878;;;2.75;2.227666941
11;D&S;;;;;;;;;0.6126374269;0.07095536124;0.5593682732;0.04872100738;2.75;2.227666941
11;inv_f;;;;;;;;;0.8245424837;0.05750375937;;;2.75;2.227666941
11;avlog_f;;;;;;;;;0.8180316477;0.05502498149;;;2.75;2.227666941
11;mv;;;;;;;;;0.7657361541;0.04518673638;0.6348905776;0.02184936844;2.75;2.227666941
11;sums_f;;;;;;;;;0.8170316477;0.05397047233;;;2.75;2.227666941
11;pinv;;;;;;;;;0.7696590987;0.07207398953;;;2.75;2.227666941
11;pinv_f;;;;;;;;;0.8200784314;0.05655563635;;;2.75;2.227666941
11;mcmc_f;;;;;;;;;0.8213133815;0.05255542946;0.8226776746;0.05172669651;2.75;2.227666941
13;truth_finder;;;;;;;;;0.7610196078;0.05463249371;0.7611840922;0.05460809587;3.209876543;2.556599059
13;avlog;;;;;;;;;0.7422339181;0.05311760056;;;3.209876543;2.556599059
