votes_per_item,top-k,precision,method
5,15,0.657719741473,mcmc_conf
5,16,0.657719741473,mcmc_conf
5,17,0.657719741473,mcmc_conf
5,18,0.657719741473,mcmc_conf
5,19,0.657719741473,mcmc_conf
5,1,0.06,D&S
5,2,0.116666666667,D&S
5,3,0.0916666666667,D&S
5,4,0.116333333333,D&S
5,5,0.147047619048,D&S
5,6,0.223880952381,D&S
5,7,0.223128427128,D&S
5,8,0.315883838384,D&S
5,9,0.392689199689,D&S
5,10,0.46710989011,D&S
5,11,0.507674991675,D&S
5,12,0.668342490842,D&S
5,13,0.771225705667,D&S
5,14,0.773089083002,D&S
5,15,0.749351995184,D&S
5,16,0.727203130375,D&S
5,17,0.707146112831,D&S
5,18,0.696391351596,D&S
5,19,0.69162572541,D&S
5,1,0.04,mcmc_conf
5,2,0.0376666666667,mcmc_conf
5,3,0.0997077922078,mcmc_conf
5,4,0.159743863979,mcmc_conf
5,5,0.175018807989,mcmc_conf
5,6,0.255509575392,mcmc_conf
5,7,0.330760507466,mcmc_conf
5,8,0.385709927328,mcmc_conf
5,9,0.412062444092,mcmc_conf
5,10,0.45929678165,mcmc_conf
5,11,0.511268068533,mcmc_conf
5,12,0.587687185364,mcmc_conf
5,13,0.667013799926,mcmc_conf
5,14,0.667013799926,mcmc_conf
5,15,0.667013799926,mcmc_conf
5,16,0.667013799926,mcmc_conf
5,17,0.667013799926,mcmc_conf
5,18,0.667013799926,mcmc_conf
5,19,0.667013799926,mcmc_conf
5,1,0.0,D&S
5,2,0.05,D&S
5,3,0.0633333333333,D&S
5,4,0.126,D&S
5,5,0.124666666667,D&S
5,6,0.156666666667,D&S
5,7,0.199722222222,D&S
5,8,0.284666666667,D&S
5,9,0.384666666667,D&S
5,10,0.467202797203,D&S
5,11,0.513028638029,D&S
5,12,0.687424908425,D&S
5,13,0.780932934712,D&S
5,14,0.785066526611,D&S
5,15,0.758834340754,D&S
5,16,0.732723536783,D&S
5,17,0.718964506855,D&S
5,18,0.709950943535,D&S
5,19,0.704038662834,D&S
